"OBS","LAND_NOM","MKVAL_NOM","STRUC_NOM","LAND_PI","MKVAL_PI","STRUC_PI","CONS_PI"
"1981Q3",1302.591956118554,4618.731479202412,3316.139523083858,0.3145074757843059,0.4667084639498433,0.5624017604526879,0.559477046852816
"1981Q4",1303.319043730017,4664.002043730017,3360.683,0.3143023149366714,0.4706374085684431,0.5691401391413693,0.5693563653573119
"1982Q1",1274.209751528762,4685.924515871236,3411.714764342473,0.3068597911225801,0.4727272727272727,0.5778740620258874,0.5775911026975864
"1982Q2",1220.428618143535,4679.147165343722,3458.718547200188,0.2935316732640454,0.4719877823326099,0.5860065880294685,0.5853525792711785
"1982Q3",1178.86359338975,4669.210073239666,3490.346479849915,0.2831549483707226,0.4709396350775661,0.5915558410672062,0.5946994794131567
"1982Q4",1185.729407202924,4692.614407202925,3506.885,0.2843567951235878,0.4730873723977173,0.5943167994751446,0.6030407004259348
"1983Q1",1230.872099170976,4763.875922725953,3533.003823554977,0.2945807408428969,0.4787107145727835,0.596544701556798,0.6112517747278752
"1983Q2",1277.234343447116,4834.518998170386,3557.28465472327,0.30498452957968,0.4838517804035046,0.5978431720951848,0.6159962139138666
"1983Q3",1324.91502554568,4914.529106540664,3589.614080994984,0.3155914662672863,0.4895265653886344,0.5999070568456734,0.625378608613346
"1983Q4",1348.06366871089,4993.25066871089,3645.187,0.3202940720441229,0.4948412507033197,0.605524650438063,0.6303951727401799
"1984Q1",1386.972419547809,5078.832717931879,3691.86029838407,0.3286767915094341,0.5005964150791737,0.6093107171657806,0.6367368670137246
"1984Q2",1424.986364605438,5169.126729688828,3744.14036508339,0.3368137969310944,0.5066827425448115,0.613834861883739,0.6442025556081401
"1984Q3",1454.455968490523,5262.428350490473,3807.972381999951,0.3429155631185294,0.5130294992363959,0.6202178696882305,0.6502721249408425
"1984Q4",1494.822020704456,5344.633020704456,3849.811,0.3515698523014894,0.5182605899847279,0.6229788280961689,0.6549455750118316
"1985Q1",1545.880807167781,5443.697720922118,3897.816913754336,0.3627094937678095,0.5250156739811912,0.6265872093817915,0.6640085186938004
"1985Q2",1629.107686210349,5560.841136776374,3931.733450566025,0.3813744156323582,0.5334587251828632,0.6278720118092478,0.6700189304306674
"1985Q3",1706.18138182688,5688.398130161067,3982.216748334186,0.39855500755736,0.542830962141307,0.6317537553134781,0.6769995267392335
"1985Q4",1794.300107421092,5845.068107421092,4050.768,0.418257252828767,0.5547849851298128,0.6382461080054126,0.6817557974443919
"1986Q1",1878.43966661015,6004.971590619407,4126.531924009257,0.4369306441306997,0.5667357929426895,0.6454628705766576,0.6891623284429721
"1986Q2",1982.738659265609,6175.755019358548,4193.016360092939,0.4601940747790895,0.5793746483401656,0.6507660976176484,0.6937292948414577
"1986Q3",2080.883572778826,6361.411880095045,4280.528307316219,0.4819387872895856,0.5931870428422152,0.6590763090633244,0.6983317557974446
"1986Q4",2181.431318747942,6550.871318747942,4369.44,0.5041849964255503,0.6072759424483563,0.6675505378401652,0.7039162328442973
"1987Q1",2296.510266622297,6740.883253889659,4444.372987267361,0.5297373505909787,0.6211655011655012,0.6735508385386057,0.7083057264552769
"1987Q2",2402.031434758127,6908.168846531004,4506.137411772877,0.5530271130075096,0.6328462342255445,0.6774599182646967,0.7150615238996688
